frame,time_s,track_id,class_id,class_name,conf,x1,y1,x2,y2,cx,cy
1,0.016683333333333335,1,32,sports ball,0.7614144682884216,0.17225265502929688,345.70306396484375,101.54603576660156,445.69720458984375,50.85914421081543,395.70013427734375
2,0.03336666666666667,1,32,sports ball,0.7615177035331726,0.12777915596961975,346.10565185546875,101.18574523925781,445.7869873046875,50.656762197613716,395.9463195800781
3,0.050050000000000004,1,32,sports ball,0.7606013417243958,0.0,346.5933837890625,100.07682800292969,445.9253234863281,50.038414001464844,396.2593536376953
4,0.06673333333333334,1,32,sports ball,0.7621797323226929,0.0,347.3387756347656,98.9447021484375,446.1835021972656,49.47235107421875,396.7611389160156
5,0.08341666666666667,1,32,sports ball,0.7616464495658875,0.0,348.2006530761719,98.1566390991211,446.41851806640625,49.07831954956055,397.30958557128906
6,0.10010000000000001,1,32,sports ball,0.7712484002113342,0.0,348.8454284667969,97.5369644165039,446.8188781738281,48.76848220825195,397.8321533203125
7,0.11678333333333334,1,32,sports ball,0.7538995146751404,0.0,349.31231689453125,97.087890625,447.24285888671875,48.5439453125,398.277587890625
8,0.13346666666666668,1,32,sports ball,0.7415929436683655,0.0,349.7907409667969,96.59082794189453,447.32708740234375,48.295413970947266,398.5589141845703
9,0.15015,1,32,sports ball,0.7462283372879028,0.0,349.9353332519531,96.41389465332031,447.59442138671875,48.206947326660156,398.76487731933594
10,0.16683333333333333,1,32,sports ball,0.7544639110565186,0.0,350.0177001953125,96.23649597167969,447.6480407714844,48.118247985839844,398.83287048339844
11,0.18351666666666666,1,32,sports ball,0.7458265423774719,0.0,350.2515563964844,96.01957702636719,447.8599548339844,48.009788513183594,399.0557556152344
12,0.20020000000000002,1,32,sports ball,0.7448188662528992,0.0,350.32708740234375,95.9401626586914,448.12164306640625,47.9700813293457,399.224365234375
13,0.21688333333333334,1,32,sports ball,0.748192310333252,0.0,350.3427734375,95.86219787597656,448.2662048339844,47.93109893798828,399.3044891357422
14,0.23356666666666667,1,32,sports ball,0.7435559630393982,0.0,350.2801818847656,95.6931381225586,448.28125,47.8465690612793,399.2807159423828
15,0.25025000000000003,1,32,sports ball,0.7339198589324951,0.0,350.3977355957031,95.57867431640625,448.49102783203125,47.789337158203125,399.4443817138672
16,0.26693333333333336,1,32,sports ball,0.7493965029716492,0.0,350.3579406738281,95.17069244384766,447.9593811035156,47.58534622192383,399.1586608886719
17,0.2836166666666667,1,32,sports ball,0.7746132016181946,0.0,350.368408203125,94.69924926757812,447.7099914550781,47.34962463378906,399.03919982910156
18,0.3003,1,32,sports ball,0.7450901865959167,0.0,350.5348815917969,94.25716400146484,447.705810546875,47.12858200073242,399.12034606933594
19,0.31698333333333334,1,32,sports ball,0.7520482540130615,0.0,350.7466125488281,93.8795394897461,447.8447570800781,46.93976974487305,399.2956848144531
20,0.33366666666666667,1,32,sports ball,0.7309239506721497,0.0,351.0731506347656,93.45423889160156,448.0736999511719,46.72711944580078,399.57342529296875
21,0.35035,1,32,sports ball,0.7452664971351624,0.0,351.3828125,93.12588500976562,448.41241455078125,46.56294250488281,399.8976135253906
22,0.3670333333333333,1,32,sports ball,0.7439866065979004,0.0,351.5450439453125,92.912841796875,448.6695251464844,46.4564208984375,400.10728454589844
23,0.38371666666666665,1,32,sports ball,0.7593802809715271,0.0,351.85638427734375,92.65509796142578,448.39031982421875,46.32754898071289,400.12335205078125
24,0.40040000000000003,1,32,sports ball,0.7586973905563354,0.0,352.1273193359375,92.4410171508789,448.28594970703125,46.22050857543945,400.2066345214844
25,0.41708333333333336,1,32,sports ball,0.7474287152290344,0.0,352.1957092285156,92.52131652832031,449.1972351074219,46.260658264160156,400.69647216796875
26,0.4337666666666667,1,32,sports ball,0.7613226771354675,0.0,352.31964111328125,92.72880554199219,449.70037841796875,46.364402770996094,401.010009765625
27,0.45045,1,32,sports ball,0.7533693313598633,0.0,352.43902587890625,92.95365142822266,450.0455017089844,46.47682571411133,401.2422637939453
28,0.46713333333333334,1,32,sports ball,0.7589200139045715,0.0,352.690673828125,93.05906677246094,450.22784423828125,46.52953338623047,401.4592590332031
29,0.4838166666666667,1,32,sports ball,0.7601535320281982,0.0,352.8424072265625,93.28651428222656,450.5950927734375,46.64325714111328,401.71875
30,0.5005000000000001,1,32,sports ball,0.7465972304344177,0.0,352.9529113769531,93.38837432861328,450.7055358886719,46.69418716430664,401.8292236328125
31,0.5171833333333333,1,32,sports ball,0.743253767490387,0.03739326819777489,353.20025634765625,93.51769256591797,450.82318115234375,46.77754291705787,402.01171875
32,0.5338666666666667,1,32,sports ball,0.7558463215827942,0.18391098082065582,353.4313049316406,93.69033813476562,451.0218200683594,46.93712455779314,402.2265625
33,0.55055,1,32,sports ball,0.7510793209075928,0.2308286726474762,353.4986267089844,93.94213104248047,451.2465515136719,47.08647985756397,402.3725891113281
34,0.5672333333333334,1,32,sports ball,0.7584589719772339,0.39236071705818176,353.6934509277344,94.14959716796875,451.3824768066406,47.270978942513466,402.5379638671875
35,0.5839166666666666,1,32,sports ball,0.760991096496582,0.4633682370185852,353.92724609375,94.2800521850586,451.5682678222656,47.37171021103859,402.7477569580078
36,0.6006,1,32,sports ball,0.7470239996910095,0.4677353501319885,354.11248779296875,94.44831848144531,451.8222351074219,47.45802691578865,402.9673614501953
37,0.6172833333333333,1,32,sports ball,0.725111186504364,0.5823125243186951,354.15850830078125,94.51933288574219,451.6813659667969,47.55082270503044,402.91993713378906
38,0.6339666666666667,1,32,sports ball,0.7426786422729492,0.649829626083374,354.1601867675781,94.8317642211914,451.7878723144531,47.74079692363739,402.9740295410156
39,0.6506500000000001,1,32,sports ball,0.7119870185852051,1.173662781715393,353.8949279785156,95.36490631103516,451.2085876464844,48.269284546375275,402.5517578125
40,0.6673333333333333,1,32,sports ball,0.7485613822937012,2.540109872817993,353.39599609375,97.20475006103516,450.47149658203125,49.872429966926575,401.9337463378906
41,0.6840166666666667,1,32,sports ball,0.6137056350708008,3.9125521183013916,352.2847595214844,99.96498107910156,450.0194091796875,51.93876659870148,401.15208435058594
42,0.7007,1,32,sports ball,0.7168573141098022,2.3421084880828857,348.8422546386719,105.56116485595703,453.6179504394531,53.95163667201996,401.2301025390625
43,0.7173833333333334,1,32,sports ball,0.747482419013977,5.122078895568848,344.39093017578125,111.06877899169922,450.6024475097656,58.09542894363403,397.49668884277344
44,0.7340666666666666,1,32,sports ball,0.8702642917633057,13.269429206848145,336.1807556152344,123.57949829101562,445.64154052734375,68.42446374893188,390.91114807128906
45,0.75075,1,32,sports ball,0.8827983736991882,27.63970184326172,324.5700988769531,140.80690002441406,435.6867980957031,84.22330093383789,380.1284484863281
46,0.7674333333333333,1,32,sports ball,0.8578383922576904,50.550453186035156,310.6663513183594,164.119873046875,420.7892761230469,107.33516311645508,365.7278137207031
47,0.7841166666666667,1,32,sports ball,0.5414032340049744,80.71935272216797,295.6640930175781,193.9375,403.4757385253906,137.32842636108398,349.5699157714844
48,0.8008000000000001,1,32,sports ball,0.7703151702880859,114.78382110595703,279.06805419921875,228.53445434570312,385.9849548339844,171.65913772583008,332.52650451660156
49,0.8174833333333333,1,32,sports ball,0.9549770355224609,150.273681640625,263.6805419921875,265.4039306640625,370.61419677734375,207.83880615234375,317.1473693847656
50,0.8341666666666667,1,32,sports ball,0.951094925403595,187.29217529296875,251.0509033203125,301.7632141113281,356.1648254394531,244.52769470214844,303.6078643798828
51,0.85085,1,32,sports ball,0.9652137756347656,222.9656982421875,237.9356689453125,338.8692626953125,343.7080993652344,280.91748046875,290.82188415527344
52,0.8675333333333334,1,32,sports ball,0.9687181711196899,260.8082580566406,228.92794799804688,374.9440612792969,332.1529541015625,317.87615966796875,280.5404510498047
53,0.8842166666666667,1,32,sports ball,0.9724019169807434,297.69232177734375,221.61231994628906,409.9429931640625,322.4227294921875,353.8176574707031,272.0175247192383
54,0.9009,1,32,sports ball,0.9590260982513428,332.8499755859375,213.50628662109375,446.1384582519531,315.1886901855469,389.4942169189453,264.3474884033203
55,0.9175833333333333,1,32,sports ball,0.9115968346595764,368.0495300292969,207.79421997070312,481.1866149902344,309.2196044921875,424.6180725097656,258.5069122314453
56,0.9342666666666667,1,32,sports ball,0.896530270576477,404.17449951171875,203.97091674804688,516.7950439453125,304.7025451660156,460.4847717285156,254.33673095703125
57,0.95095,1,32,sports ball,0.7768397331237793,439.7531433105469,202.38870239257812,551.8026733398438,302.3999328613281,495.7779083251953,252.39431762695312
58,0.9676333333333333,1,32,sports ball,0.9128759503364563,474.9104919433594,202.7276153564453,585.9717407226562,301.92840576171875,530.4411163330078,252.32801055908203
59,0.9843166666666667,1,32,sports ball,0.7209486961364746,510.0396728515625,204.58470153808594,620.0785522460938,303.0175476074219,565.0591125488281,253.8011245727539
60,1.0010000000000001,1,32,sports ball,0.8640542030334473,545.2164916992188,207.23924255371094,656.10888671875,306.70794677734375,600.6626892089844,256.97359466552734
61,1.0176833333333333,1,32,sports ball,0.782927393913269,580.5638427734375,211.16574096679688,691.7378540039062,311.26190185546875,636.1508483886719,261.2138214111328
62,1.0343666666666667,1,32,sports ball,0.8959646821022034,615.0648193359375,216.15084838867188,726.6853637695312,316.9517517089844,670.8750915527344,266.5513000488281
63,1.05105,1,32,sports ball,0.6226714253425598,649.3125,223.28065490722656,761.6793823242188,325.14166259765625,705.4959411621094,274.2111587524414
64,1.0677333333333334,1,32,sports ball,0.7492286562919617,684.3773193359375,231.20884704589844,797.0259399414062,333.54302978515625,740.7016296386719,282.37593841552734
65,1.0844166666666666,1,32,sports ball,0.8475092053413391,720.0916748046875,242.1365203857422,831.0020751953125,342.8191833496094,775.546875,292.4778518676758
66,1.1011,1,32,sports ball,0.8749114274978638,754.9213256835938,252.35061645507812,865.9528198242188,352.9032897949219,810.4370727539062,302.626953125
67,1.1177833333333334,1,32,sports ball,0.8838320970535278,789.07421875,262.8627014160156,901.4428100585938,364.46929931640625,845.2585144042969,313.66600036621094
68,1.1344666666666667,1,32,sports ball,0.9029685854911804,822.8623046875,275.7925109863281,934.5052490234375,376.5528869628906,878.6837768554688,326.1726989746094
69,1.1511500000000001,1,32,sports ball,0.7286841869354248,856.0121459960938,288.39599609375,970.2186889648438,391.73223876953125,913.1154174804688,340.0641174316406
70,1.1678333333333333,1,32,sports ball,0.7281610369682312,888.6370849609375,302.5343322753906,1004.2080078125,407.4611511230469,946.4225463867188,354.99774169921875
71,1.1845166666666667,1,32,sports ball,0.7368993759155273,921.537841796875,319.05419921875,1037.528564453125,424.7078857421875,979.533203125,371.88104248046875
72,1.2012,1,32,sports ball,0.1535654366016388,953.294921875,335.8115539550781,1069.9407958984375,442.6651306152344,1011.6178588867188,389.23834228515625
73,1.2178833333333334,-1,32,sports ball,0.25731953978538513,987.852783203125,361.3505859375,1099.18115234375,468.739990234375,1043.5169677734375,415.0452880859375
75,1.25125,-1,32,sports ball,0.43292561173439026,139.41275024414062,743.127197265625,238.53289794921875,815.43505859375,188.9728240966797,779.2811279296875
76,1.2679333333333334,-1,32,sports ball,0.3090396821498871,1083.7723388671875,426.00177001953125,1193.4083251953125,537.5429077148438,1138.59033203125,481.7723388671875
77,1.2846166666666667,-1,32,sports ball,0.16705720126628876,105.86700439453125,793.6723022460938,201.12445068359375,873.1802368164062,153.4957275390625,833.42626953125
77,1.2846166666666667,-1,32,sports ball,0.15398399531841278,1113.8924560546875,452.5782470703125,1224.6932373046875,562.4325561523438,1169.2928466796875,507.5054016113281
80,1.3346666666666667,-1,32,sports ball,0.21390023827552795,22.000213623046875,862.53173828125,107.80833435058594,951.6689453125,64.9042739868164,907.100341796875
82,1.3680333333333334,-1,32,sports ball,0.20315739512443542,1265.9537353515625,602.08935546875,1381.6610107421875,716.186767578125,1323.807373046875,659.1380615234375
83,1.3847166666666666,-1,32,sports ball,0.21895743906497955,1297.5814208984375,635.2587890625,1414.0855712890625,751.205810546875,1355.83349609375,693.2322998046875
85,1.4180833333333334,-1,32,sports ball,0.18132534623146057,1359.345703125,708.8363037109375,1477.798095703125,828.6534423828125,1418.5718994140625,768.744873046875
86,1.4347666666666667,-1,32,sports ball,0.31971338391304016,1391.6046142578125,747.8082275390625,1510.4744873046875,868.1104736328125,1451.03955078125,807.9593505859375
87,1.4514500000000001,-1,32,sports ball,0.48111867904663086,1424.5582275390625,789.130615234375,1544.1910400390625,911.025390625,1484.3746337890625,850.0780029296875
88,1.4681333333333333,-1,32,sports ball,0.6020721197128296,1456.29541015625,831.0426025390625,1575.6875,954.47021484375,1515.991455078125,892.7564086914062
89,1.4848166666666667,-1,32,sports ball,0.7975426912307739,1486.61572265625,872.9669189453125,1607.93310546875,997.245361328125,1547.2744140625,935.1061401367188
90,1.5015,-1,32,sports ball,0.5395343899726868,1517.15380859375,916.6331787109375,1639.85693359375,1038.2576904296875,1578.50537109375,977.4454345703125
